"Player","Age","Confederation","Position","isSelected","Team","Nationality","Matches","Goals","Selection","Minutes","Titres","Assists","yellewCard","redCard","Gender"
"Neymar ","25","UEFA","attaquant","yes","PSG","Brésil","45","20","83","3971","","","15","1","Male"
"Marcelo","29","UEFA","Défenseur","yes","Real Madrid","Brésil","48","7","48","3855","","","5","0","Male"
"Philippe Coutinho","25","UEFA","Milieu","yes","Liverpool","Brésil","36","14","32","2532","","","2","0","Male"
"Paulo Dybala ","23","UEFA","attaquant","yes","Juventus Turin","Argentine","50","20","12","3497","","","3","0","Male"
"Lionel Messi ","30","UEFA","attaquant","yes","FC Barcelone","Argentine","57","58","114","4787","","","9","0","Male"
"Radamel Falcao ","31","UEFA","attaquant","yes","AS Monaco","Colombie","43","30","62","2937","","","6","0","Male"
"Luis Suarez","30","UEFA","attaquant","yes","FC Barcelone","Uruguay","56","40","88","4698","","","13","0","Male"
"Edinson Cavani ","30","UEFA","attaquant","yes","PSG","Uruguay","53","50","95","4286","","","6","0","Male"
"N'Golo Kanté","26","UEFA","Milieu","yes","Chelsea","France","41","2","20","3526","","","11","0","Male"
"Antoine Griezmann ","26","UEFA","attaquant","yes","Atlético Madrid","France","53","26","54","4559","","","4","0","Male"
"Karim Benzema ","29","UEFA","attaquant","yes","Real Madrid","France","46","17","81","3038","","","0","0","Male"
"Kylian Mbappé","18","UEFA","attaquant","yes","PSG","France","44","26","18","2633","","","2","0","Male"
"Sergio Ramos ","31","UEFA","Défenseur","yes","Real Madrid","Espagne","44","10","149","3942","","","13","0","Male"
"David De Gea ","26","UEFA","Gardien","yes","Manchester United","Espagne","45","-37","25","4050","","","2","0","Male"
"Isco","25","UEFA","Milieu","yes","Real Madrid","Espagne","43","11","34","2410","","","5","0","Male"
"Luka Modric ","32","UEFA","Milieu","yes","Real Madrid","Croatie","40","1","103","3155","","","4","0","Male"
"Jan Oblak","24","UEFA","Gardien","yes","Atlético Madrid","Slovénie","42","-33","18","3730","","","0","1","Male"
"Edin Dzeko","31","UEFA","attaquant","yes","AS Roma","Bosnie","51","39","87","4036","","","5","0","Male"
"Cristiano Ronaldo","32","UEFA","attaquant","yes","Real Madrid","Portugal","44","38","147","3924","","","5","0","Male"
"Dries Mertens ","30","UEFA","attaquant","yes","Naples","Belgique","46","34","65","3221","","","7","0","Male"
"Kevin De Bruyne ","26","UEFA","Milieu","yes","Manchester City","Belgique","49","7","61","3909","","","6","0","Male"
"Eden Hazard ","26","UEFA","Mileu","yes","Chelsea","Belgique","43","17","82","3375","","","3","0","Male"
"Robert Lewandowski","29","UEFA","attaquant","yes","Bayern Munich","Pologne","47","43","91","4021","","","5","0","Male"
"Harry Kane ","24","UEFA","attaquant","yes","Tottenham","Angleterre","38","35","33","3154","","","4","0","Male"
"Toni Kroos ","27","UEFA","Milieu","yes","Real Madrid","Allemagne","46","4","80","3978","","","10","0","Male"
"Mats Hummels","28","UEFA","Défenseur","yes","Bayern Munich","Allemagne","42","3","62","3270","","","6","0","Male"
"Gianluigi Buffon","39","UEFA","Gardien","yes","Juventus Turin","Italie","43","-39","174","3856","","","0","0","Male"
"Leonardo Bonucci ","30","UEFA","Défenseur","yes","AC Milan","Italie","45","5","76","3742","","","9","0","Male"
"Sadio Mané ","25","UEFA","attaquant","yes","Liverpool","Sénégal","29","13","29","2427","","","4","0","Male"
"Pierre-Emerick Aubameyang ","28","UEFA","attaquant","yes","Borussia Dortmund","Gabon","47","41","33","4021","","","4","0","Male"
"","","UEFA","","","","","","","","","","","","","Male"
"Sergi Aguero","","UEFA","attaquant","","Manchester City","Argentine","31","20","","2409","","","","","Male"
"Alexis Sanchez","","UEFA","attaquant","","Arsenal","Chilie","37","25","","3266","","","6","0","Male"
"Romelu Lukaku","","UEFA","attaquant","","Manchester United","Belgique","38","24","","3217","","","","","Male"
"Jamie Vardy","","UEFA","attaquant","","Lister City","Angleterre","35","13","","2801","","","","","Male"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
